sequence,tx_ns,rx_ns,latency_ns
350,200000000,200000902,902
351,200000000,200000904,904
352,200000000,200000906,906
353,200000000,200000908,908
354,200000000,200000910,910
355,200000000,200000912,912
356,200000000,200000914,914
357,200000000,200000916,916
358,200000000,200000918,918
359,200000000,200000920,920
360,200000000,200000922,922
361,200000000,200000924,924
362,200000000,200000926,926
363,200000000,200000928,928
364,200000000,200000930,930
365,200000000,200000932,932
366,200000000,200000934,934
367,200000000,200000936,936
368,200000000,200000938,938
369,200000000,200000940,940
370,200000000,200000942,942
371,200000000,200000944,944
372,200000000,200000946,946
373,200000000,200000948,948
374,200000000,200000950,950
375,200000000,200000952,952
376,200000000,200000954,954
377,200000000,200000956,956
378,200000000,200000958,958
379,200000000,200000960,960
380,200000000,200000962,962
381,200000000,200000964,964
382,200000000,200000966,966
383,200000000,200000968,968
384,200000000,200000970,970
385,200000000,200000972,972
386,200000000,200000974,974
387,200000000,200000976,976
388,200000000,200000978,978
389,200000000,200000980,980
390,200000000,200000982,982
391,200000000,200000984,984
392,200000000,200000986,986
393,200000000,200000988,988
394,200000000,200000990,990
395,200000000,200000992,992
396,200000000,200000994,994
397,200000000,200000996,996
398,200000000,200000998,998
399,200000000,200001000,1000
400,200000000,200001002,1002
401,200000000,200001004,1004
402,200000000,200001006,1006
403,200000000,200001008,1008
404,200000000,200001010,1010
405,200000000,200001012,1012
406,200000000,200001014,1014
407,200000000,200001016,1016
408,200000000,200001018,1018
409,200000000,200001020,1020
410,200000000,200001022,1022
411,200000000,200001024,1024
412,200000000,200001026,1026
413,200000000,200001028,1028
414,200000000,200001030,1030
415,200000000,200001032,1032
416,200000000,200001034,1034
417,200000000,200001036,1036
418,200000000,200001038,1038
419,200000000,200001040,1040
420,200000000,200001042,1042
421,200000000,200001044,1044
422,200000000,200001046,1046
423,200000000,200001048,1048
424,200000000,200001050,1050
425,200000000,200001052,1052
426,200000000,200001054,1054
427,200000000,200001056,1056
428,200000000,200001058,1058
429,200000000,200001060,1060
430,200000000,200001062,1062
431,200000000,200001064,1064
432,200000000,200001066,1066
433,200000000,200001068,1068
434,200000000,200001070,1070
435,200000000,200001072,1072
436,200000000,200001074,1074
437,200000000,200001076,1076
438,200000000,200001078,1078
439,200000000,200001080,1080
440,200000000,200001082,1082
441,200000000,200001084,1084
442,200000000,200001086,1086
443,200000000,200001088,1088
444,200000000,200001090,1090
445,200000000,200001092,1092
446,200000000,200001094,1094
447,200000000,200001096,1096
448,200000000,200001098,1098
449,200000000,200001100,1100
450,200000000,200001102,1102
451,200000000,200001104,1104
452,200000000,200001106,1106
453,200000000,200001108,1108
454,200000000,200001110,1110
455,200000000,200001112,1112
456,200000000,200001114,1114
457,200000000,200001116,1116
458,200000000,200001118,1118
459,200000000,200001120,1120
460,200000000,200001122,1122
461,200000000,200001124,1124
462,200000000,200001126,1126
463,200000000,200001128,1128
464,200000000,200001130,1130
465,200000000,200001132,1132
466,200000000,200001134,1134
467,200000000,200001136,1136
468,200000000,200001138,1138
469,200000000,200001140,1140
470,200000000,200001142,1142
471,200000000,200001144,1144
472,200000000,200001146,1146
473,200000000,200001148,1148
474,200000000,200001150,1150
475,200000000,200001152,1152
476,200000000,200001154,1154
477,200000000,200001156,1156
478,200000000,200001158,1158
479,200000000,200001160,1160
480,200000000,200001162,1162
481,200000000,200001164,1164
482,200000000,200001166,1166
483,200000000,200001168,1168
484,200000000,200001170,1170
485,200000000,200001172,1172
486,200000000,200001174,1174
487,200000000,200001176,1176
488,200000000,200001178,1178
489,200000000,200001180,1180
490,200000000,200001182,1182
491,200000000,200001184,1184
492,200000000,200001186,1186
493,200000000,200001188,1188
494,200000000,200001190,1190
495,200000000,200001192,1192
496,200000000,200001194,1194
497,200000000,200001196,1196
498,200000000,200001198,1198
499,200000000,200001200,1200
500,200000000,200001202,1202
501,200000000,200001204,1204
502,200000000,200001206,1206
503,200000000,200001208,1208
504,200000000,200001210,1210
505,200000000,200001212,1212
506,200000000,200001214,1214
